PAH_num,Name,Formula,CAS,SMILES,InChIKey,Molar_Mass_g_mol,Length_A,Width_A,Length_to_Width_Ratio,Vertical_IE_eV,Dipole_Moment_Debye
1,Benzene,C6H6,71-43-2,c1ccccc1,UHOVQNZJYSORNB-UHFFFAOYSA-N,78.112,7.372,6.706,1.099,6.7974,75.0641
2,Pentalene,C8H6,250-25-9,C1=CC=C2C=CC=C12,GUVXZFRDPCKWEM-UHFFFAOYSA-N,102.133,8.883,6.791,1.308,5.2219,122.2924
3,Indene,C9H8,95-13-6,c1ccc2c(c1)CC=C2,YBYIRNPNPLQARY-UHFFFAOYSA-N,116.16,9.156,7.306,1.253,5.8505,126.3816
4,Naphthalene,C10H8,91-20-3,c1ccc2c(c1)cccc2,UFWIBTONFRDIAS-UHFFFAOYSA-N,128.171,9.155,7.395,1.238,5.8831,160.4088
5,as-Indacene,C12H8,210-65-1,c12c3c(=CC=C3)ccc1=CC=C2,KNNXFYIMEYKHBZ-UHFFFAOYSA-N,152.192,10.24,7.904,1.296,5.0477,175.6417
6,s-Indacene,C12H8,267-21-0,c12cc3=CC=Cc3cc1=CC=C2,WEMQMWWWCBYPOV-UHFFFAOYSA-N,152.192,11.29,7.513,1.503,5.2436,166.8593
7,Acenaphthylene,C12H8,208-96-8,c12c3c(ccc1)cccc3C=C2,HXGDTGSAIMULJN-UHFFFAOYSA-N,152.192,9.199,8.572,1.073,5.8994,154.3131
8,Acenaphthene,C12H10,83-32-9,c1c2c3c(cc1)cccc3CC2,CWRYPZZKDGJXCA-UHFFFAOYSA-N,154.208,9.191,8.492,1.082,5.5457,149.826
9,3H-Benz[e]indene,C13H10,232-55-3,c1c2c(ccc1)c1c(cc2)CC=C1,USPJQUFZLZTSBK-UHFFFAOYSA-N,166.219,10.87,7.956,1.366,5.4015,172.6666
10,1H-Benz[e]indene,C13H10,232-54-2,C1C=Cc2c1c1c(cc2)cccc1,KXYGKDBONOVZOM-UHFFFAOYSA-N,166.219,10.96,7.963,1.376,5.494,210.4787
11,Fluorene,C13H10,86-73-7,C1c2c(cccc2)c2c1cccc2,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,166.219,11.42,7.506,1.521,5.845,165.0043
12,1H-Benz[f]indene,C13H10,268-40-6,C1=CCc2c1cc1c(c2)cccc1,LJVOKUMRGBIJGP-UHFFFAOYSA-N,166.219,11.48,7.434,1.544,5.5511,182.1652
13,Phenalene,C13H10,203-80-5,c1ccc2cccc3c2c1CC=C3,XDJOIMJURHQYDW-UHFFFAOYSA-N,166.219,9.568,9.134,1.048,5.3117,181.2228
14,Phenanthrene,C14H10,85-01-8,c1cccc2c1ccc1c2cccc1,YNPNZTXNASCQKK-UHFFFAOYSA-N,178.229,11.64,7.956,1.462,5.8232,182.7539
